name,description,asks_fee,label
BrightMinds HR Solutions,Small consultancy that posts detailed positions with company names on Naukri and LinkedIn; explicitly writes 'No charges to candidates' on each post.,0,0
PartnersPartners Partners,Provides project-based hiring for Java and .NET engineers. Consulting and training firm in data science.,0,0
UrbanAdvisory HR,Consulting and training firm in data science. Candidates are hired as full time employees with standard background checks.,0,0
BlueTalent Solutions,Provides project-based hiring for Java and .NET engineers. Provides project-based hiring for Java and .NET engineers.,0,0
CashDream Consultancy,Activation fee must be paid immediately to unlock projects. Pay joining fee to access premium job list and HR contacts.,1,1
PrimeConsulting Solutions,"We are paid by employers, not by job seekers. Service charges are billed only to client companies.",1,0
JobInstant Jobs,We offer premium job placement services for freshers and experienced candidates.,1,1
OverseasQuick Agency,We guarantee job in MNC without exams. Pay security deposit. Simple work from mobile. Join now by paying account creation fee.,1,1
PayGuaranteed Consultancy,One-time registration fee required before sharing interview location. Get selected instantly for high-paying job. Just pay registration fee.,1,1
TalentTalent Staffing,Service charges are billed only to client companies. Candidates are hired as full time employees with standard background checks.,0,0
OverseasInstant Agency,We offer premium job placement services for freshers and experienced candidates.,1,1
BrightBright HR,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
CoreStaffing Staffing,Service charges are billed only to client companies. Selection process includes technical test and HR round.,0,0
PayJob Consultancy,Asks candidates to pay processing fee in cash before employer details. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
UrbanTech HR,Works only on retained search basis. Service charges are billed only to client companies.,0,0
GlobalSummit Solutions,Recruitment for clients is free for job seekers. Provides project-based hiring for Java and .NET engineers.,0,0
PrimeTalent HR,No fees are collected from candidates at any stage. Works only on retained search basis.,0,0
UrbanCareer Associates,Small but registered local consultancy that only charges companies; clearly states on its website that paying any recruiter is against policy.,0,0
SilverHR HR,All openings are listed on our official website. Service charges are billed only to client companies.,0,0
QuickPlacement Consultancy,Asks candidates to pay processing fee in cash before employer details. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
100%Job Consultancy,Get selected instantly for high-paying job. Just pay registration fee. Asks candidates to pay processing fee in cash before employer details.,1,1
NextGenStaffing Partners,We are an IT staffing firm partnering with MNC clients. All communication happens from verified company email domains.,0,0
QuickVisa Career Placements,"Mixes visa consultancy and job promise; insists that without paying combined visa + job package fee, your profile cannot be processed.",1,1
QuickHire Telegram Jobs,Join our Telegram group and pay 1200 rs joining fee to access premium job list and direct HR contacts.,1,1
BrightFuture HR Consulting,Specializes in junior IT and BPO hiring. Candidates are shortlisted based on resume and online test; company policy strictly prohibits charging candidates any fee.,0,0
BluePrime Partners,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
HRGlobal HR,Recruitment for clients is free for job seekers. Candidates are hired as full time employees with standard background checks.,0,0
Dream Job Offer Work From Home,Congratulations! Get selected instantly for high‑paying typing job from home. Just pay 1999 registration fee and start earning 5000 per day.,1,1
GlobalBlue Solutions,No fees are collected from candidates at any stage. Consulting and training firm in data science.,0,0
AdvisoryCore HR,"Official recruitment partner for mid-size software companies. We are paid by employers, not by job seekers.",0,0
BrightCore HR,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
OfferFirst Services,Asks candidates to pay processing fee in cash before employer details. Earn daily 3000 INR. First pay processing fee for ID card.,0,1
TalentBlue HR,"Candidates are hired as full time employees with standard background checks. We are paid by employers, not by job seekers.",0,0
StaffingSummit HR,No fees are collected from candidates at any stage. Provides project-based hiring for Java and .NET engineers.,0,0
BrightStaffing Solutions,Consulting and training firm in data science. Recruitment for clients is free for job seekers.,0,0
Visas100% Jobs,100% placement guarantee. Freshers must pay placement fee. Part-time copy paste work. First transfer processing fee.,1,1
AdvisoryCity HR,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
EasyOverseas Consultancy,Earn daily 3000 INR. First pay processing fee for ID card. Demands non-refundable registration fee to reserve offer letter.,1,1
UrbanSilver Staffing,Provides project-based hiring for Java and .NET engineers. We are an IT staffing firm partnering with MNC clients.,1,0
Visas100% Jobs,Company charges for profile activation. Refund if not selected. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
OfferEasy Services,Part-time copy paste work. First transfer processing fee. Simple work from mobile. Join now by paying account creation fee.,0,1
BluePartners Staffing,No fees are collected from candidates at any stage. Selection process includes technical test and HR round.,0,0
FirstGuaranteed Agency,100% placement guarantee. Freshers must pay placement fee. We guarantee job in MNC without exams. Pay security deposit.,1,1
TrueNorth Staffing Solutions,"Handles only contract staffing, invoices corporate clients monthly; no charges to individuals applying for jobs.",0,0
OverseasJob Consultancy,Earn daily 3000 INR. First pay processing fee for ID card. Pay joining fee to access premium job list and HR contacts.,1,1
PayOverseas Jobs,100% placement guarantee. Freshers must pay placement fee. We guarantee job in MNC without exams. Pay security deposit.,1,1
DreamPay Jobs,Asks candidates to pay processing fee in cash before employer details. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
JobSure Calling Center,"Tele‑caller group that pressures people to pay job guarantee fee immediately during phone call, without giving written job description.",1,1
ConsultingCity Partners,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
CityCareers InfoTech,"IT staffing firm with physical office, GST number, and company registration displayed on website; job seekers submit resumes through corporate portal only.",0,0
SummitTalent Partners,Service charges are billed only to client companies. Service charges are billed only to client companies.,0,0
JobPay Jobs,We guarantee job in MNC without exams. Pay security deposit. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
ConsultingBlue Staffing,Recruitment for clients is free for job seekers. Candidates are hired as full time employees with standard background checks.,0,0
SummitPrime Staffing,"Official recruitment partner for mid-size software companies. We are paid by employers, not by job seekers.",0,0
JobCash Agency,One-time registration fee required before sharing interview location. Simple work from mobile. Join now by paying account creation fee.,1,1
SilverPartners Solutions,Recruitment for clients is free for job seekers. No fees are collected from candidates at any stage.,0,0
CityNextGen Staffing,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
NextGenSilver Solutions,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
BrightTech Partners,"We are paid by employers, not by job seekers. Consulting and training firm in data science.",0,0
QuickPay Services,We offer premium job placement services for freshers and experienced candidates.,1,1
StaffingUrban HR,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
TalentHR Solutions,Recruitment for clients is free for job seekers. All communication happens from verified company email domains.,0,0
InstantVisas Agency,We guarantee job in MNC without exams. Pay security deposit. Must pay consultancy fee and visa processing amount in advance.,1,1
InspireBridge Careers,"Offers structured campus‑to‑corporate programs in partnership with accredited colleges. Students pay subsidized training fees to institutions, not to individual recruiters.",0,0
Sunrise Campus Careers,University‑affiliated cell that coordinates campus drives; does not allow third‑party consultancies to charge students for jobs.,0,0
OfferOverseas Jobs,We offer premium job placement services for freshers and experienced candidates.,1,1
SilverSilver Staffing,Provides project-based hiring for Java and .NET engineers. All openings are listed on our official website.,0,0
DreamDream Jobs,NO INTERVIEW required. Send joining fee on Google Pay. One-time registration fee required before sharing interview location.,1,1
PartnersPartners Staffing,Official recruitment partner for mid-size software companies. Service charges are billed only to client companies.,0,0
SummitCore Partners,Provides project-based hiring for Java and .NET engineers. Candidates are hired as full time employees with standard background checks.,0,0
QuickPay Jobs,We offer premium job placement services for freshers and experienced candidates.,1,1
UrbanCore Partners,We are an IT staffing firm partnering with MNC clients. All openings are listed on our official website.,0,0
CityHR Partners,Recruitment for clients is free for job seekers. Consulting and training firm in data science.,0,0
CashCash Consultancy,Company charges for profile activation. Refund if not selected. Simple work from mobile. Join now by paying account creation fee.,1,1
HRHR HR,"We are paid by employers, not by job seekers. All communication happens from verified company email domains.",0,0
CashCash Agency,Activation fee must be paid immediately to unlock projects. Must pay consultancy fee and visa processing amount in advance.,1,1
AdvisoryCore Solutions,Official recruitment partner for mid-size software companies. Works only on retained search basis.,0,0
NextGenPrime Solutions,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
PartnersBright Staffing,All communication happens from verified company email domains. Consulting and training firm in data science.,0,0
TalentTalent Solutions,Official recruitment partner for mid-size software companies. Consulting and training firm in data science.,0,0
BrightWave Staffing Solutions,Specializes in contract IT staffing. Candidates sign contracts directly with BrightWave or client company; the agency publishes a strict 'no candidate fee' policy on its website.,0,0
100%Offer Consultancy,Part-time copy paste work. First transfer processing fee. Activation fee must be paid immediately to unlock projects.,1,1
BrightNextGen Solutions,Works only on retained search basis. Selection process includes technical test and HR round.,0,0
SummitBright Partners,All openings are listed on our official website. Recruitment for clients is free for job seekers.,0,0
NextGenGlobal Partners,Service charges are billed only to client companies. Selection process includes technical test and HR round.,0,0
CashOffer Services,NO INTERVIEW required. Send joining fee on Google Pay. Simple work from mobile. Join now by paying account creation fee.,1,1
OverseasGuaranteed Services,NO INTERVIEW required. Send joining fee on Google Pay. Part-time copy paste work. First transfer processing fee.,1,1
AdvisoryHR Staffing,Official recruitment partner for mid-size software companies. No fees are collected from candidates at any stage.,0,0
SummitTalent Solutions,Works only on retained search basis. Works only on retained search basis.,0,0
SureShotEasy Agency,Must pay consultancy fee and visa processing amount in advance. Asks candidates to pay processing fee in cash before employer details.,1,1
EasyQuick Agency,We offer premium job placement services for freshers and experienced candidates.,1,1
TechConsulting Solutions,Official recruitment partner for mid-size software companies. Consulting and training firm in data science.,0,0
SilverTalent Solutions,Candidates are hired as full time employees with standard background checks. Provides project-based hiring for Java and .NET engineers.,0,0
GuaranteedSureShot Services,NO INTERVIEW required. Send joining fee on Google Pay. Must pay consultancy fee and visa processing amount in advance.,1,1
CityPartners HR,Candidates are hired as full time employees with standard background checks. We are an IT staffing firm partnering with MNC clients.,0,0
CityConsulting Partners,Consulting and training firm in data science. Service charges are billed only to client companies.,0,0
SilverNextGen Partners,No fees are collected from candidates at any stage. We are an IT staffing firm partnering with MNC clients.,0,0
VisasEasy Consultancy,Earn daily 3000 INR. First pay processing fee for ID card. Part-time copy paste work. First transfer processing fee.,1,1
FirstJob Consultancy,Asks candidates to pay processing fee in cash before employer details. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
GuaranteedPay Jobs,100% placement guarantee. Freshers must pay placement fee. We guarantee job in MNC without exams. Pay security deposit.,1,1
FirstPay Services,Part-time copy paste work. First transfer processing fee. Demands non-refundable registration fee to reserve offer letter.,1,1
Crestline Corporate Hiring,"Works directly with finance and insurance firms; recruitment service is completely free for job seekers, costs are covered by corporate clients.",0,0
DreamDream Services,100% placement guarantee. Freshers must pay placement fee. Get selected instantly for high-paying job. Just pay registration fee.,1,1
TalentGlobal Partners,Service charges are billed only to client companies. All openings are listed on our official website.,0,0
MetroCity Tech Recruiters,Local agency with office address and GST number published on site. Candidates meet recruiters in person; no payment is requested.,0,0
FirstStep Training & Jobs,Runs 3‑month training program with documented fee; job assistance is optional and they clearly mention that no extra placement money will be taken.,0,0
Galaxy Abroad Placements,"Claims to arrange direct abroad work permits without experience. Demands large 'file opening fee' of 30,000 upfront with no written refund policy.",1,1
CashVisas Consultancy,We guarantee job in MNC without exams. Pay security deposit. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
SilverTech Partners,Works only on retained search basis. No fees are collected from candidates at any stage.,0,0
OfferJob Jobs,Earn daily 3000 INR. First pay processing fee for ID card. Simple work from mobile. Join now by paying account creation fee.,1,1
GlobalPartners Staffing,Selection process includes technical test and HR round. Provides project-based hiring for Java and .NET engineers.,0,0
CashOffer Consultancy,Must pay consultancy fee and visa processing amount in advance. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
SummitUrban Partners,"We are an IT staffing firm partnering with MNC clients. We are paid by employers, not by job seekers.",0,0
BlueHR Solutions,Works only on retained search basis. Official recruitment partner for mid-size software companies.,0,0
VisasPlacement Services,Asks candidates to pay processing fee in cash before employer details. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
CityNextGen Solutions,Candidates are hired as full time employees with standard background checks. Consulting and training firm in data science.,0,0
UrbanBright Solutions,All openings are listed on our official website. Works only on retained search basis.,0,0
PrimeCity Staffing,Works only on retained search basis. Recruitment for clients is free for job seekers.,0,0
GlobalConsulting HR,Selection process includes technical test and HR round. Provides project-based hiring for Java and .NET engineers.,0,0
CitySilver Partners,Consulting and training firm in data science. Selection process includes technical test and HR round.,0,0
AdvisoryCore HR,We are an IT staffing firm partnering with MNC clients. Official recruitment partner for mid-size software companies.,0,0
FirstJob Jobs,We offer premium job placement services for freshers and experienced candidates.,1,1
QuickOffer Agency,Get selected instantly for high-paying job. Just pay registration fee. Pay joining fee to access premium job list and HR contacts.,1,1
TalentNextGen Solutions,Provides project-based hiring for Java and .NET engineers. Recruitment for clients is free for job seekers.,0,0
JobMint WhatsApp Offers,Sends WhatsApp broadcast messages with 'no interview' offers; demands 1700 activation fee to proceed further.,1,1
UrbanBlue Staffing,All communication happens from verified company email domains. Service charges are billed only to client companies.,0,0
HRCore Staffing,All openings are listed on our official website. We are an IT staffing firm partnering with MNC clients.,0,0
GuaranteedGuaranteed Consultancy,Earn daily 3000 INR. First pay processing fee for ID card. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
UrbanPrime HR,"We are paid by employers, not by job seekers. Recruitment for clients is free for job seekers.",0,0
JobOverseas Jobs,Activation fee must be paid immediately to unlock projects. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
ConsultingPrime Partners,Official recruitment partner for mid-size software companies. Selection process includes technical test and HR round.,0,0
BrightTalent Staffing,Selection process includes technical test and HR round. All communication happens from verified company email domains.,0,0
Job100% Agency,Pay joining fee to access premium job list and HR contacts. Asks candidates to pay processing fee in cash before employer details.,1,1
100%Job Consultancy,Part-time copy paste work. First transfer processing fee. Earn daily 3000 INR. First pay processing fee for ID card.,0,1
TechStaffing HR,Selection process includes technical test and HR round. We are an IT staffing firm partnering with MNC clients.,0,0
CoreStaffing Staffing,Candidates are hired as full time employees with standard background checks. Official recruitment partner for mid-size software companies.,0,0
AdvisorySummit HR,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
SureShotEasy Services,We guarantee job in MNC without exams. Pay security deposit. Pay joining fee to access premium job list and HR contacts.,1,1
PrimePartners Solutions,Official recruitment partner for mid-size software companies. Recruitment for clients is free for job seekers.,0,0
Easy100% Jobs,One-time registration fee required before sharing interview location. Part-time copy paste work. First transfer processing fee.,1,1
TechGlobal Staffing,"We are paid by employers, not by job seekers. All openings are listed on our official website.",0,0
Placement100% Agency,Activation fee must be paid immediately to unlock projects. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
AdvisoryNextGen Partners,Works only on retained search basis. Candidates are hired as full time employees with standard background checks.,0,0
Quick100% Services,Company charges for profile activation. Refund if not selected. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
OfferJob Jobs,Must pay consultancy fee and visa processing amount in advance. Must pay consultancy fee and visa processing amount in advance.,1,1
VisasDream Agency,Activation fee must be paid immediately to unlock projects. Demands non-refundable registration fee to reserve offer letter.,1,1
SummitSummit Solutions,We are an IT staffing firm partnering with MNC clients. Service charges are billed only to client companies.,0,0
SilverPrime Solutions,Recruitment for clients is free for job seekers. Candidates are hired as full time employees with standard background checks.,0,0
OverseasInstant Services,Demands non-refundable registration fee to reserve offer letter. Get selected instantly for high-paying job. Just pay registration fee.,1,1
NextGenSilver Staffing,"We are paid by employers, not by job seekers. Candidates are hired as full time employees with standard background checks.",0,0
100%Cash Consultancy,Company charges for profile activation. Refund if not selected. One-time registration fee required before sharing interview location.,1,1
VisasEasy Services,Pay joining fee to access premium job list and HR contacts. Demands non-refundable registration fee to reserve offer letter.,1,1
OverseasFirst Jobs,Part-time copy paste work. First transfer processing fee. Pay joining fee to access premium job list and HR contacts.,1,1
PlacementSureShot Consultancy,Activation fee must be paid immediately to unlock projects. Pay joining fee to access premium job list and HR contacts.,1,1
CoreHR Partners,All openings are listed on our official website. Official recruitment partner for mid-size software companies.,0,0
ConsultingTech Staffing,"Candidates are hired as full time employees with standard background checks. We are paid by employers, not by job seekers.",1,0
NextGenGlobal HR,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
100%Offer Consultancy,NO INTERVIEW required. Send joining fee on Google Pay. Company charges for profile activation. Refund if not selected.,1,1
DreamVisas Consultancy,Company charges for profile activation. Refund if not selected. One-time registration fee required before sharing interview location.,1,1
ConsultingSilver HR,We are an IT staffing firm partnering with MNC clients. No fees are collected from candidates at any stage.,0,0
SureShotOffer Jobs,Company charges for profile activation. Refund if not selected. Activation fee must be paid immediately to unlock projects.,1,1
QuickCash Agency,NO INTERVIEW required. Send joining fee on Google Pay. One-time registration fee required before sharing interview location.,0,1
OverseasPay Consultancy,Company charges for profile activation. Refund if not selected. Must pay consultancy fee and visa processing amount in advance.,1,1
ConsultingNextGen Staffing,Selection process includes technical test and HR round. Candidates are hired as full time employees with standard background checks.,0,0
BlueCore Solutions,Selection process includes technical test and HR round. Works only on retained search basis.,0,0
CoreTech Solutions,All openings are listed on our official website. No fees are collected from candidates at any stage.,0,0
RoyalWay Gulf Placements,"Promises high‑salary Gulf jobs with free accommodation but makes candidates pay 20,000 for ticket and processing without proper invoices.",1,1
Elite Talent Search,Executive search firm that approaches candidates through LinkedIn and corporate email IDs. They do not ask for any form of payment from candidates.,0,0
EasyCash Agency,Part-time copy paste work. First transfer processing fee. Part-time copy paste work. First transfer processing fee.,1,1
HRPrime Solutions,No fees are collected from candidates at any stage. Selection process includes technical test and HR round.,0,0
TechBright Partners,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
GuaranteedEasy Agency,Simple work from mobile. Join now by paying account creation fee. Must pay consultancy fee and visa processing amount in advance.,1,1
NextGenSilver HR,No fees are collected from candidates at any stage. Recruitment for clients is free for job seekers.,0,0
InstantDream Agency,Get selected instantly for high-paying job. Just pay registration fee. Activation fee must be paid immediately to unlock projects.,1,1
PrimePartners Staffing,Official recruitment partner for mid-size software companies. Selection process includes technical test and HR round.,0,0
OfferDream Consultancy,We guarantee job in MNC without exams. Pay security deposit. Demands non-refundable registration fee to reserve offer letter.,1,1
PartnersPartners HR,Selection process includes technical test and HR round. Provides project-based hiring for Java and .NET engineers.,0,0
TrustPath HR Solutions,Transparent consultancy that signs MoU with companies and shares company offer letters directly from official domains; candidates are not asked for fees.,0,0
JobInstant Consultancy,Earn daily 3000 INR. First pay processing fee for ID card. Demands non-refundable registration fee to reserve offer letter.,1,1
ConsultingBlue Partners,Selection process includes technical test and HR round. Consulting and training firm in data science.,0,0
OfferCash Agency,Simple work from mobile. Join now by paying account creation fee. Simple work from mobile. Join now by paying account creation fee.,1,1
PayPlacement Consultancy,Demands non-refundable registration fee to reserve offer letter. We guarantee job in MNC without exams. Pay security deposit.,1,1
PayPlacement Consultancy,One-time registration fee required before sharing interview location. Get selected instantly for high-paying job. Just pay registration fee.,1,1
CashOffer Agency,We guarantee job in MNC without exams. Pay security deposit. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
HRCity Partners,Candidates are hired as full time employees with standard background checks. No fees are collected from candidates at any stage.,0,0
CashFirst Consultancy,One-time registration fee required before sharing interview location. Get selected instantly for high-paying job. Just pay registration fee.,1,1
AdvisoryStaffing HR,We are an IT staffing firm partnering with MNC clients. Works only on retained search basis.,0,0
NextGenHR HR,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
OverseasJob Services,Get selected instantly for high-paying job. Just pay registration fee. Company charges for profile activation. Refund if not selected.,1,1
DreamJob Services,100% placement guarantee. Freshers must pay placement fee. 100% placement guarantee. Freshers must pay placement fee.,1,1
CareerBridge Solutions,Helps professionals transition to IT roles with bootcamps; charges course fees but states that all client interviews are free and merit‑based.,0,0
FirstJob Agency,Earn daily 3000 INR. First pay processing fee for ID card. We guarantee job in MNC without exams. Pay security deposit.,1,1
Vertex Analytics Labs LLP,Data analytics and BI consulting company headquartered in Bangalore. Candidates are hired as full time employees with standard background checks only.,0,0
BrightPrime Solutions,Official recruitment partner for mid-size software companies. No fees are collected from candidates at any stage.,0,0
JobOverseas Services,Pay joining fee to access premium job list and HR contacts. One-time registration fee required before sharing interview location.,1,1
DreamPlacement Agency,Demands non-refundable registration fee to reserve offer letter. Pay joining fee to access premium job list and HR contacts.,1,1
StaffingAdvisory Staffing,We are an IT staffing firm partnering with MNC clients. All openings are listed on our official website.,0,0
TechTalent Partners,All communication happens from verified company email domains. Candidates are hired as full time employees with standard background checks.,0,0
FirstPlacement Agency,Demands non-refundable registration fee to reserve offer letter. Get selected instantly for high-paying job. Just pay registration fee.,1,1
BluePartners Partners,"We are paid by employers, not by job seekers. We are an IT staffing firm partnering with MNC clients.",0,0
StaffingCity Staffing,Works only on retained search basis. All communication happens from verified company email domains.,1,0
ShinePath Overseas Careers,Provides counseling for abroad jobs and also sells coaching packages. Coaching fees are paid on invoice; they clearly state that no job can be guaranteed.,0,0
CityLink Manpower Services,Walk‑in interviews conducted at registered office. Service charges are billed only to client companies under formal agreement.,0,0
CoreHR Partners,Provides project-based hiring for Java and .NET engineers. Candidates are hired as full time employees with standard background checks.,0,0
OverseasGuaranteed Services,Part-time copy paste work. First transfer processing fee. Must pay consultancy fee and visa processing amount in advance.,1,1
CityBright HR,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
NextGenBright Partners,We are an IT staffing firm partnering with MNC clients. Provides project-based hiring for Java and .NET engineers.,1,0
PrimeSoft IT Solutions Pvt Ltd,"Software development and staffing services for banking and healthcare. Selection process: technical test + HR round, no registration or processing fee.",0,0
VisasFirst Jobs,Demands non-refundable registration fee to reserve offer letter. Company charges for profile activation. Refund if not selected.,1,1
First100% Services,Part-time copy paste work. First transfer processing fee. One-time registration fee required before sharing interview location.,1,1
GlobalCity HR,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
CityTech Solutions,We are an IT staffing firm partnering with MNC clients. All openings are listed on our official website.,0,0
InstantJob Jobs,Asks candidates to pay processing fee in cash before employer details. Demands non-refundable registration fee to reserve offer letter.,1,1
GlobalTalent Solutions,No fees are collected from candidates at any stage. All communication happens from verified company email domains.,0,0
SkillEdge Placement Cell,College‑associated placement cell that coordinates internships and entry level jobs; students are not allowed to pay any third‑party agencies.,0,0
GlobalDream Job Services,Uses fake offer letters with big brand logos and asks candidates to immediately pay joining bonus adjustment charges.,1,1
SummitUrban Staffing,Service charges are billed only to client companies. Candidates are hired as full time employees with standard background checks.,0,0
TrustedPath Manpower,"Maintains client list, registration certificates, and privacy policy on website; all interviews happen either online on official links or at company premises, no fee asked.",0,0
VisasSureShot Consultancy,Demands non-refundable registration fee to reserve offer letter. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
JobSureShot Jobs,NO INTERVIEW required. Send joining fee on Google Pay. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
HRTech Staffing,"We are paid by employers, not by job seekers. Selection process includes technical test and HR round.",0,0
TechCity HR,Works only on retained search basis. All openings are listed on our official website.,0,0
PayQuick Services,Get selected instantly for high-paying job. Just pay registration fee. Asks candidates to pay processing fee in cash before employer details.,1,1
PlacementDream Agency,Earn daily 3000 INR. First pay processing fee for ID card. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
SilverConsulting Staffing,Works only on retained search basis. Provides project-based hiring for Java and .NET engineers.,0,0
UrbanEdge Recruitment Solutions,We source candidates for product startups. All communication happens from verified company email domains and LinkedIn.,0,0
VisasCash Consultancy,NO INTERVIEW required. Send joining fee on Google Pay. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
GlobalBright Solutions,"We are paid by employers, not by job seekers. Service charges are billed only to client companies.",0,0
BrightLine IT Recruiters,Maintains an official LinkedIn page with consultant profiles and client testimonials. Communication regarding interviews and offers always includes client email in CC.,0,0
QuickQuick Agency,We guarantee job in MNC without exams. Pay security deposit. Simple work from mobile. Join now by paying account creation fee.,0,1
